title,views,date_time,link,thumbnail
Maximum Length Bitonic Subarray | GeeksforGeeks,15K views,8 years ago,https://www.youtube.com/watch?v=k4vMVTp6AuI,https://i.ytimg.com/vi/k4vMVTp6AuI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAfgK5z9HiW113QouX3yzv5EeNMTg
Delete N nodes after M nodes of a linked list | GeeksforGeeks,27K views,8 years ago,https://www.youtube.com/watch?v=PpY_C_NSNwk,https://i.ytimg.com/vi/PpY_C_NSNwk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBbmOswCFMs2oXMtJTztdhYPxd3UQ
Count minimum steps to get the given desired array | GeeksforGeeks,19K views,8 years ago,https://www.youtube.com/watch?v=AXlPTwCzpAo,https://i.ytimg.com/vi/AXlPTwCzpAo/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhlIGUoZTAP&rs=AOn4CLDh0Z18IQUCFIW6MMrJXRvIoOJxgw
Two elements whose sum is closest to zero | GeeksforGeeks,27K views,8 years ago,https://www.youtube.com/watch?v=HUwYrtrOcd0,https://i.ytimg.com/vi/HUwYrtrOcd0/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhlIGUoZTAP&rs=AOn4CLCx-bN-XSLOaBs-HOHQEdbrOTV-8w
Find duplicates in O(n) time and O(1) extra space | GeeksforGeeks,139K views,8 years ago,https://www.youtube.com/watch?v=HuZJqRDOPo0,https://i.ytimg.com/vi/HuZJqRDOPo0/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhlIGUoZTAP&rs=AOn4CLBkKmyDzOa5LejaHOpLtb6OiRz5sA
Find minimum difference between any two elements | GeeksforGeeks,28K views,8 years ago,https://www.youtube.com/watch?v=Cr20pvlhqBU,https://i.ytimg.com/vi/Cr20pvlhqBU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDdy5LTBVlbmEKrIDjNqJMlkJ7tbg
Implement two stacks in an array | GeeksforGeeks,51K views,8 years ago,https://www.youtube.com/watch?v=BjODIZvW4no,https://i.ytimg.com/vi/BjODIZvW4no/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhlIGUoZTAP&rs=AOn4CLDTy1b_maULQ0ZiHnN7P2zw4E8FBA
Find lost element from a duplicated array | GeeksforGeeks,11K views,8 years ago,https://www.youtube.com/watch?v=dx8twFuPgvg,https://i.ytimg.com/vi/dx8twFuPgvg/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhlIGUoZTAP&rs=AOn4CLDtfN9GWS2DxU_BaxPr4aXOwA3blA
Floor and Ceiling in a sorted array | GeeksforGeeks,21K views,8 years ago,https://www.youtube.com/watch?v=Nzm9emAkSCM,https://i.ytimg.com/vi/Nzm9emAkSCM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCNurT8G5u9vKBbs0zm5c9eE1theg
"Given an array A[] and a number x, check for pair in A[] with sum as x | GeeksforGeeks",74K views,8 years ago,https://www.youtube.com/watch?v=I7Nz1XzzPYc,https://i.ytimg.com/vi/I7Nz1XzzPYc/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhlIGUoZTAP&rs=AOn4CLAFQywxZZpQ2rshrE_zfigbopEXPA
Print missing elements that lie in range 0 – 99 | GeeksforGeeks,19K views,8 years ago,https://www.youtube.com/watch?v=qjNVJTUge7s,https://i.ytimg.com/vi/qjNVJTUge7s/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhbIFsoWzAP&rs=AOn4CLB5-0zf9knixUa5YuAx3_tSO_-jIQ
Segregate 0s and 1s in an array | GeeksforGeeks,31K views,8 years ago,https://www.youtube.com/watch?v=DR7NgPnErxI,https://i.ytimg.com/vi/DR7NgPnErxI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCnZSGa-ENyBTpIne2pWbBWZrIOvA
Pythagorean Triplet in an array | GeeksforGeeks,33K views,8 years ago,https://www.youtube.com/watch?v=oNtexwxSZ3s,https://i.ytimg.com/vi/oNtexwxSZ3s/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhlIGUoZTAP&rs=AOn4CLACUkLrcZsbZSTPDObbqHQnMq_soA
